t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
3.7,-162.15,-81.249,15.595,-9.2427
13.6,-162.15,-81.249,11.595,-10.243
23.5,-161.15,-80.249,11.595,-10.243
33.4,-159.15,-81.249,10.595,-10.243
43.3,-159.15,-80.249,10.595,-10.243
53.2,-157.15,-80.249,9.5954,-9.2427
63.1,-153.15,-75.249,9.5954,-9.2427
72.9,-152.15,-75.249,5.5954,-13.243
82.8,-153.15,-74.249,5.5954,-13.243
92.7,-154.15,-77.249,2.5954,-15.243
102.6,-160.15,-79.249,2.5954,-15.243
112.5,-164.15,-80.249,4.5954,-12.243
122.4,-168.15,-81.249,4.5954,-12.243
132.3,-169.15,-84.249,14.595,-6.2427
142.1,-170.15,-83.249,14.595,-6.2427
152.0,-172.15,-86.249,26.595,-0.24275
161.9,-174.15,-85.249,26.595,-0.24275
171.8,-176.15,-87.249,31.595,1.7573
181.7,-176.15,-87.249,36.595,4.7573
191.6,-175.15,-86.249,41.595,7.7573
201.5,-176.15,-86.249,41.595,7.7573
211.3,-176.15,-87.249,46.595,9.7573
221.2,-177.15,-86.249,47.595,8.7573
231.1,-177.15,-86.249,47.595,9.7573
241.0,-178.15,-87.249,47.595,9.7573
250.9,-178.15,-89.249,47.595,6.7573
260.8,-178.15,-86.249,44.595,6.7573
270.7,-177.15,-87.249,41.595,4.7573
280.5,-176.15,-87.249,39.595,3.7573
290.4,-177.15,-89.249,38.595,2.7573
300.3,-179.15,-88.249,33.595,-1.2427
310.2,-178.15,-89.249,31.595,-1.2427
320.1,-179.15,-89.249,28.595,-4.2427
330.0,-179.15,-92.249,26.595,-5.2427
339.9,-179.15,-92.249,26.595,-4.2427
349.7,-179.15,-92.249,26.595,-4.2427
359.6,-179.15,-92.249,27.595,-5.2427
369.5,-180.15,-91.249,26.595,-4.2427
379.4,-180.15,-91.249,27.595,-3.2427
389.3,-180.15,-92.249,28.595,-3.2427
399.2,-180.15,-92.249,27.595,-2.2427
409.1,-181.15,-92.249,28.595,-3.2427
