t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
3.3,-207.88,-7.1881,-282.38,-84.658
13.2,-216.88,-7.1881,-282.38,-84.658
23.1,-216.88,-7.1881,-278.38,-83.658
33.0,-228.88,-10.188,-276.38,-82.658
42.8,-228.88,-10.188,-276.38,-80.658
52.7,-236.88,-10.188,-275.38,-81.658
62.6,-236.88,-10.188,-276.38,-80.658
72.5,-252.88,-12.188,-277.38,-81.658
82.4,-252.88,-12.188,-280.38,-80.658
92.3,-242.88,-9.1881,-281.38,-81.658
102.2,-242.88,-9.1881,-280.38,-79.658
112.0,-193.88,1.8119,-276.38,-77.658
121.9,-193.88,1.8119,-268.38,-72.658
131.8,-161.88,8.8119,-262.38,-71.658
141.7,-132.88,17.812,-258.38,-70.658
151.6,-106.88,25.812,-253.38,-68.658
161.5,-87.878,29.812,-252.38,-67.658
171.4,-73.878,35.812,-250.38,-66.658
181.2,-60.878,37.812,-251.38,-67.658
191.1,-54.878,39.812,-249.38,-65.658
201.0,-53.878,39.812,-246.38,-64.658
210.9,-54.878,38.812,-245.38,-64.658
220.8,-56.878,37.812,-242.38,-63.658
230.7,-55.878,38.812,-242.38,-64.658
240.6,-56.878,37.812,-242.38,-64.658
250.4,-58.878,37.812,-240.38,-62.658
260.3,-60.878,38.812,-239.38,-62.658
270.2,-60.878,37.812,-237.38,-62.658
280.1,-60.878,38.812,-236.38,-61.658
290.0,-60.878,39.812,-236.38,-62.658
299.9,-59.878,39.812,-239.38,-63.658
309.8,-59.878,40.812,-238.38,-62.658
319.6,-57.878,40.812,-238.38,-64.658
329.5,-57.878,41.812,-238.38,-62.658
339.4,-57.878,41.812,-239.38,-61.658
349.3,-55.878,41.812,-237.38,-61.658
359.2,-55.878,42.812,-236.38,-60.658
369.1,-54.878,42.812,-236.38,-60.658
379.0,-55.878,43.812,-231.38,-59.658
388.8,-55.878,42.812,-233.38,-59.658
398.7,-57.878,42.812,-235.38,-59.658
408.6,-60.878,41.812,-233.38,-59.658
418.5,-63.878,40.812,-235.38,-59.658
428.4,-67.878,39.812,-235.38,-59.658
438.3,-74.878,36.812,-233.38,-59.658
448.2,-78.878,36.812,-233.38,-57.658
458.0,-82.878,35.812,-229.38,-55.658
467.9,-84.878,35.812,-229.38,-55.658
477.8,-87.878,34.812,-226.38,-54.658
487.7,-91.878,35.812,-224.38,-53.658
497.6,-94.878,34.812,-225.38,-53.658
507.5,-95.878,33.812,-226.38,-53.658
517.4,-99.878,33.812,-224.38,-52.658
527.2,-105.88,32.812,-224.38,-52.658
537.1,-109.88,31.812,-225.38,-52.658
547.0,-111.88,30.812,-224.38,-52.658
556.9,-113.88,31.812,-226.38,-53.658
566.8,-118.88,32.812,-225.38,-53.658
576.7,-120.88,31.812,-227.38,-52.658
586.6,-110.88,34.812,-225.38,-51.658
596.4,-89.878,40.812,-218.38,-46.658
606.3,-60.878,47.812,-205.38,-40.658
616.2,-30.878,54.812,-190.38,-35.658
626.1,-0.87839,60.812,-180.38,-32.658
636.0,26.122,68.812,-171.38,-29.658
645.9,48.122,75.812,-167.38,-29.658
655.8,63.122,79.812,-170.38,-31.658
665.6,75.122,84.812,-172.38,-33.658
675.5,80.122,85.812,-173.38,-35.658
685.4,86.122,86.812,-172.38,-34.658
695.3,88.122,86.812,-171.38,-34.658
705.2,90.122,86.812,-170.38,-33.658
715.1,90.122,86.812,-166.38,-33.658
725.0,92.122,86.812,-163.38,-33.658
734.8,92.122,86.812,-162.38,-29.658
744.7,89.122,87.812,-158.38,-30.658
754.6,89.122,87.812,-156.38,-30.658
764.5,90.122,89.812,-156.38,-29.658
774.4,90.122,89.812,-154.38,-29.658
784.3,89.122,89.812,-154.38,-27.658
794.2,89.122,89.812,-152.38,-28.658
804.0,92.122,89.812,-152.38,-27.658
813.9,92.122,89.812,-152.38,-28.658
823.8,94.122,91.812,-150.38,-26.658
833.7,94.122,91.812,-151.38,-27.658
843.6,96.122,91.812,-151.38,-27.658
853.5,96.122,91.812,-153.38,-29.658
863.4,93.122,90.812,-153.38,-29.658
873.2,93.122,88.812,-158.38,-29.658
883.1,90.122,88.812,-158.38,-29.658
893.0,88.122,87.812,-161.38,-31.658
902.9,84.122,86.812,-161.38,-31.658
912.8,80.122,85.812,-162.38,-30.658
922.7,78.122,84.812,-162.38,-30.658
932.6,73.122,83.812,-154.38,-27.658
942.4,69.122,83.812,-154.38,-27.658
952.3,64.122,81.812,-149.38,-24.658
962.2,60.122,79.812,-149.38,-24.658
972.1,56.122,78.812,-149.38,-24.658
982.0,52.122,77.812,-149.38,-24.658
991.9,48.122,76.812,-153.38,-25.658
1001.8,44.122,74.812,-153.38,-25.658
1011.6,40.122,74.812,-157.38,-27.658
1021.5,35.122,73.812,-157.38,-27.658
1031.4,32.122,72.812,-159.38,-27.658
1041.3,29.122,72.812,-160.38,-26.658
1051.2,28.122,74.812,-157.38,-25.658
1061.1,26.122,75.812,-157.38,-24.658
1071.0,21.122,73.812,-154.38,-23.658
1080.8,21.122,74.812,-153.38,-23.658
1090.7,36.122,76.812,-150.38,-21.658
1100.6,62.122,83.812,-142.38,-15.658
1110.5,90.122,87.812,-125.38,-7.6577
1120.4,114.12,94.812,-112.38,-3.6577
1130.3,136.12,99.812,-100.38,-0.65772
1140.2,156.12,104.81,-93.382,-0.65772
1150.0,170.12,108.81,-93.382,-2.6577
1159.9,181.12,110.81,-99.382,-6.6577
1169.8,190.12,111.81,-105.38,-11.658
