t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
3.0,-167.94,35.245,-488.29,-134.0
12.9,-176.94,32.245,-488.29,-134.0
22.7,-181.94,32.245,-493.29,-135.0
32.6,-170.94,39.245,-493.29,-135.0
42.5,-152.94,46.245,-495.29,-134.0
52.4,-152.94,46.245,-495.29,-134.0
62.3,-105.94,67.245,-483.29,-129.0
72.2,-105.94,67.245,-483.29,-129.0
82.1,-60.944,85.245,-425.29,-104.0
92.0,-60.944,85.245,-425.29,-104.0
101.8,-37.944,97.245,-371.29,-79.997
111.7,-37.944,97.245,-371.29,-79.997
121.6,-17.944,104.24,-330.29,-63.997
131.5,-17.944,104.24,-330.29,-63.997
141.4,-1.9443,108.24,-312.29,-58.997
151.3,-1.9443,108.24,-312.29,-58.997
161.1,4.0557,110.24,-309.29,-58.997
171.0,4.0557,110.24,-306.29,-58.997
180.9,8.0557,112.24,-303.29,-56.997
190.8,6.0557,114.24,-302.29,-56.997
200.7,5.0557,114.24,-304.29,-57.997
210.6,3.0557,116.24,-308.29,-59.997
220.5,2.0557,117.24,-312.29,-61.997
230.3,-2.9443,120.24,-320.29,-62.997
240.2,-4.9443,118.24,-326.29,-65.997
250.1,-6.9443,119.24,-335.29,-68.997
260.0,-7.9443,118.24,-340.29,-71.997
269.9,-7.9443,120.24,-349.29,-73.997
279.8,-5.9443,121.24,-355.29,-76.997
289.7,-3.9443,124.24,-362.29,-79.997
299.5,-1.9443,124.24,-370.29,-82.997
309.4,-1.9443,125.24,-372.29,-84.997
319.3,1.0557,130.24,-375.29,-85.997
329.2,3.0557,132.24,-375.29,-84.997
339.1,2.0557,134.24,-374.29,-84.997
349.0,0.055695,135.24,-375.29,-83.997
358.9,-1.9443,134.24,-376.29,-82.997
368.7,-2.9443,136.24,-377.29,-82.997
378.6,-5.9443,134.24,-378.29,-81.997
388.5,-7.9443,135.24,-379.29,-82.997
398.4,-11.944,134.24,-379.29,-80.997
