t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
3.5,-43.049,-79.344,-862.91,-623.84
13.4,-41.049,-75.344,-874.91,-629.84
23.3,-41.049,-74.344,-884.91,-632.84
33.2,-41.049,-70.344,-897.91,-637.84
43.1,-39.049,-67.344,-905.91,-643.84
52.9,-41.049,-66.344,-911.91,-643.84
62.8,-41.049,-63.344,-910.91,-645.84
72.7,-40.049,-62.344,-906.91,-641.84
82.6,-42.049,-60.344,-901.91,-639.84
92.5,-44.049,-57.344,-894.91,-635.84
102.4,-44.049,-55.344,-890.91,-634.84
112.3,-44.049,-54.344,-882.91,-628.84
122.1,-47.049,-54.344,-864.91,-618.84
132.0,-48.049,-54.344,-840.91,-603.84
141.9,-52.049,-55.344,-813.91,-587.84
151.8,-59.049,-59.344,-782.91,-565.84
161.7,-56.049,-56.344,-751.91,-544.84
171.6,-44.049,-51.344,-720.91,-523.84
181.5,-25.049,-47.344,-684.91,-499.84
191.3,-5.0494,-39.344,-644.91,-471.84
201.2,20.951,-30.344,-578.91,-433.84
211.1,43.951,-17.344,-490.91,-388.84
221.0,63.951,-9.3445,-432.91,-355.84
230.9,78.951,-4.3445,-376.91,-326.84
240.8,86.951,-3.3445,-338.91,-307.84
250.7,94.951,0.65555,-347.91,-311.84
260.5,104.95,4.6555,-349.91,-311.84
270.4,110.95,6.6555,-356.91,-311.84
280.3,117.95,8.6555,-359.91,-312.84
290.2,121.95,12.656,-357.91,-308.84
300.1,125.95,13.656,-340.91,-296.84
310.0,130.95,14.656,-321.91,-284.84
319.9,128.95,13.656,-308.91,-273.84
329.7,124.95,14.656,-303.91,-270.84
339.6,117.95,12.656,-305.91,-270.84
349.5,111.95,8.6555,-314.91,-273.84
359.4,109.95,6.6555,-319.91,-274.84
369.3,100.95,6.6555,-326.91,-275.84
379.2,98.951,3.6555,-333.91,-277.84
389.1,95.951,3.6555,-340.91,-278.84
398.9,91.951,1.6555,-351.91,-282.84
408.8,82.951,-0.34445,-362.91,-286.84
418.7,79.951,-2.3445,-376.91,-291.84
428.6,72.951,-4.3445,-389.91,-295.84
438.5,68.951,-5.3445,-394.91,-298.84
448.4,64.951,-4.3445,-402.91,-301.84
458.3,59.951,-5.3445,-413.91,-306.84
468.1,55.951,-7.3445,-417.91,-308.84
478.0,47.951,-9.3445,-425.91,-312.84
487.9,42.951,-11.344,-430.91,-314.84
497.8,36.951,-15.344,-432.91,-314.84
507.7,27.951,-18.344,-432.91,-313.84
517.6,24.951,-20.344,-433.91,-312.84
527.5,16.951,-21.344,-435.91,-313.84
537.3,9.9506,-25.344,-436.91,-314.84
547.2,9.9506,-25.344,-438.91,-312.84
557.1,-4.0494,-29.344,-443.91,-312.84
567.0,-4.0494,-29.344,-443.91,-313.84
576.9,-21.049,-38.344,-446.91,-312.84
586.8,-21.049,-38.344,-448.91,-313.84
596.7,-39.049,-47.344,-450.91,-315.84
606.5,-39.049,-47.344,-450.91,-315.84
616.4,-63.049,-58.344,-455.91,-316.84
626.3,-63.049,-58.344,-455.91,-316.84
636.2,-87.049,-69.344,-464.91,-317.84
646.1,-87.049,-69.344,-464.91,-317.84
656.0,-111.05,-79.344,-473.91,-320.84
665.9,-111.05,-79.344,-473.91,-320.84
675.7,-140.05,-93.344,-481.91,-323.84
685.6,-140.05,-93.344,-481.91,-323.84
695.5,-142.05,-94.344,-492.91,-325.84
705.4,-131.05,-91.344,-492.91,-325.84
715.3,-121.05,-88.344,-491.91,-324.84
725.2,-105.05,-84.344,-491.91,-324.84
735.1,-85.049,-77.344,-472.91,-315.84
744.9,-67.049,-69.344,-472.91,-315.84
754.8,-55.049,-66.344,-427.91,-297.84
764.7,-48.049,-66.344,-427.91,-297.84
774.6,-44.049,-66.344,-389.91,-285.84
784.5,-43.049,-67.344,-389.91,-285.84
794.4,-41.049,-67.344,-387.91,-290.84
804.3,-41.049,-67.344,-387.91,-290.84
814.1,-39.049,-67.344,-404.91,-304.84
824.0,-37.049,-67.344,-432.91,-324.84
833.9,-36.049,-65.344,-465.91,-348.84
843.8,-39.049,-67.344,-496.91,-370.84
853.7,-42.049,-70.344,-516.91,-381.84
863.6,-49.049,-70.344,-532.91,-390.84
873.5,-53.049,-73.344,-544.91,-398.84
883.3,-58.049,-75.344,-555.91,-404.84
893.2,-63.049,-75.344,-564.91,-409.84
903.1,-64.049,-76.344,-574.91,-414.84
913.0,-66.049,-78.344,-582.91,-416.84
922.9,-69.049,-76.344,-586.91,-416.84
932.8,-68.049,-76.344,-591.91,-418.84
942.7,-70.049,-77.344,-594.91,-417.84
952.5,-76.049,-81.344,-599.91,-417.84
962.4,-78.049,-82.344,-598.91,-416.84
972.3,-82.049,-85.344,-594.91,-413.84
982.2,-88.049,-87.344,-589.91,-409.84
992.1,-94.049,-89.344,-583.91,-405.84
