t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
3.2,-148.23,-68.209,64.077,50.753
13.1,-150.23,-68.209,61.077,50.753
22.9,-153.23,-69.209,61.077,49.753
32.8,-153.23,-69.209,59.077,49.753
42.7,-156.23,-69.209,56.077,47.753
52.6,-157.23,-69.209,56.077,47.753
62.5,-157.23,-69.209,52.077,46.753
72.4,-159.23,-69.209,51.077,45.753
82.3,-159.23,-68.209,50.077,46.753
92.1,-156.23,-66.209,48.077,45.753
102.0,-153.23,-65.209,48.077,46.753
111.9,-147.23,-64.209,52.077,48.753
121.8,-141.23,-62.209,56.077,49.753
131.7,-137.23,-60.209,58.077,50.753
141.6,-132.23,-59.209,63.077,51.753
151.4,-126.23,-59.209,67.077,53.753
161.3,-124.23,-58.209,71.077,54.753
171.2,-120.23,-58.209,75.077,55.753
181.1,-118.23,-58.209,78.077,55.753
191.0,-116.23,-59.209,80.077,56.753
200.9,-117.23,-60.209,82.077,57.753
210.8,-117.23,-60.209,83.077,55.753
220.7,-121.23,-61.209,83.077,57.753
230.5,-121.23,-61.209,84.077,55.753
240.4,-127.23,-62.209,85.077,56.753
250.3,-127.23,-62.209,81.077,54.753
260.2,-129.23,-64.209,80.077,55.753
270.1,-129.23,-64.209,79.077,53.753
280.0,-135.23,-65.209,77.077,52.753
289.8,-135.23,-65.209,74.077,53.753
299.7,-138.23,-64.209,73.077,53.753
309.6,-138.23,-64.209,72.077,52.753
319.5,-137.23,-63.209,69.077,52.753
329.4,-137.23,-63.209,69.077,52.753
339.3,-136.23,-62.209,66.077,51.753
349.2,-136.23,-62.209,64.077,51.753
359.1,-133.23,-62.209,63.077,50.753
368.9,-133.23,-62.209,61.077,52.753
378.8,-130.23,-61.209,61.077,52.753
388.7,-129.23,-60.209,62.077,50.753
398.6,-128.23,-61.209,62.077,50.753
408.5,-128.23,-60.209,64.077,50.753
418.4,-126.23,-62.209,64.077,50.753
428.2,-128.23,-61.209,63.077,52.753
438.1,-129.23,-61.209,63.077,52.753
448.0,-130.23,-62.209,66.077,53.753
457.9,-132.23,-61.209,66.077,53.753
467.8,-133.23,-63.209,65.077,51.753
477.7,-135.23,-62.209,65.077,51.753
487.6,-138.23,-64.209,66.077,53.753
497.4,-139.23,-63.209,66.077,53.753
507.3,-140.23,-64.209,62.077,51.753
517.2,-142.23,-63.209,62.077,51.753
527.1,-142.23,-64.209,58.077,49.753
537.0,-142.23,-64.209,58.077,49.753
546.9,-144.23,-64.209,57.077,48.753
556.8,-145.23,-64.209,57.077,48.753
566.6,-147.23,-64.209,54.077,48.753
576.5,-148.23,-64.209,54.077,48.753
586.4,-149.23,-65.209,52.077,48.753
596.3,-151.23,-64.209,50.077,48.753
606.2,-152.23,-65.209,49.077,46.753
616.1,-155.23,-66.209,48.077,46.753
626.0,-155.23,-66.209,47.077,45.753
635.8,-156.23,-66.209,45.077,45.753
645.7,-156.23,-66.209,45.077,44.753
655.6,-156.23,-65.209,43.077,44.753
665.5,-158.23,-65.209,40.077,45.753
675.4,-157.23,-64.209,38.077,43.753
685.3,-155.23,-64.209,35.077,43.753
695.2,-153.23,-62.209,33.077,41.753
705.0,-148.23,-59.209,33.077,40.753
714.9,-141.23,-57.209,34.077,43.753
724.8,-134.23,-54.209,35.077,44.753
734.7,-127.23,-52.209,40.077,44.753
744.6,-119.23,-50.209,45.077,46.753
754.5,-112.23,-49.209,50.077,48.753
764.4,-107.23,-48.209,52.077,50.753
774.2,-102.23,-48.209,58.077,50.753
784.1,-98.229,-48.209,61.077,51.753
794.0,-96.229,-48.209,66.077,51.753
803.9,-96.229,-48.209,68.077,52.753
813.8,-95.229,-47.209,71.077,53.753
823.7,-94.229,-47.209,73.077,52.753
833.6,-96.229,-48.209,73.077,53.753
843.4,-96.229,-49.209,72.077,51.753
853.3,-98.229,-49.209,72.077,52.753
863.2,-99.229,-49.209,71.077,51.753
873.1,-102.23,-49.209,69.077,51.753
883.0,-104.23,-50.209,68.077,50.753
892.9,-106.23,-49.209,67.077,49.753
902.8,-106.23,-49.209,63.077,49.753
912.6,-103.23,-48.209,62.077,49.753
922.5,-104.23,-47.209,60.077,48.753
932.4,-102.23,-46.209,58.077,49.753
942.3,-100.23,-47.209,57.077,49.753
952.2,-96.229,-45.209,56.077,48.753
962.1,-96.229,-45.209,55.077,49.753
972.0,-93.229,-45.209,53.077,47.753
981.8,-92.229,-44.209,54.077,48.753
991.7,-90.229,-44.209,54.077,49.753
1001.6,-90.229,-43.209,56.077,49.753
1011.5,-89.229,-43.209,56.077,48.753
1021.4,-89.229,-44.209,56.077,48.753
1031.3,-90.229,-44.209,55.077,49.753
1041.2,-90.229,-44.209,57.077,48.753
1051.0,-93.229,-45.209,57.077,49.753
1060.9,-93.229,-45.209,58.077,49.753
1070.8,-95.229,-45.209,57.077,49.753
1080.7,-95.229,-45.209,57.077,48.753
1090.6,-95.229,-44.209,58.077,47.753
1100.5,-95.229,-44.209,56.077,48.753
1110.4,-97.229,-45.209,54.077,47.753
1120.2,-97.229,-45.209,54.077,47.753
1130.1,-96.229,-44.209,50.077,45.753
1140.0,-96.229,-44.209,50.077,45.753
1149.9,-101.23,-45.209,51.077,45.753
1159.8,-101.23,-45.209,47.077,44.753
1169.7,-102.23,-45.209,46.077,45.753
1179.6,-102.23,-45.209,45.077,44.753
1189.4,-103.23,-45.209,45.077,44.753
1199.3,-103.23,-45.209,43.077,44.753
1209.2,-106.23,-46.209,41.077,42.753
1219.1,-108.23,-46.209,40.077,42.753
1229.0,-107.23,-46.209,37.077,41.753
1238.9,-108.23,-47.209,37.077,41.753
1248.8,-110.23,-46.209,36.077,40.753
1258.6,-110.23,-45.209,32.077,39.753
1268.5,-107.23,-44.209,34.077,39.753
1278.4,-107.23,-43.209,31.077,39.753
1288.3,-102.23,-42.209,30.077,40.753
1298.2,-99.229,-39.209,33.077,40.753
1308.1,-91.229,-37.209,34.077,40.753
1318.0,-84.229,-33.209,38.077,43.753
1327.8,-77.229,-32.209,41.077,44.753
1337.7,-68.229,-30.209,47.077,46.753
1347.6,-61.229,-29.209,50.077,46.753
1357.5,-54.229,-27.209,57.077,48.753
1367.4,-48.229,-26.209,61.077,49.753
1377.3,-44.229,-25.209,65.077,49.753
1387.2,-41.229,-26.209,67.077,51.753
1397.0,-39.229,-25.209,68.077,50.753
1406.9,-40.229,-26.209,70.077,51.753
1416.8,-41.229,-26.209,73.077,52.753
1426.7,-42.229,-26.209,72.077,51.753
1436.6,-42.229,-27.209,71.077,50.753
1446.5,-44.229,-27.209,71.077,50.753
1456.4,-44.229,-27.209,68.077,50.753
1466.2,-45.229,-27.209,68.077,48.753
1476.1,-45.229,-28.209,66.077,49.753
1486.0,-47.229,-27.209,66.077,49.753
1495.9,-46.229,-26.209,64.077,47.753
1505.8,-45.229,-26.209,64.077,47.753
1515.7,-44.229,-24.209,59.077,47.753
1525.6,-41.229,-23.209,59.077,47.753
1535.4,-38.229,-23.209,57.077,47.753
1545.3,-37.229,-21.209,57.077,47.753
1555.2,-35.229,-21.209,54.077,46.753
1565.1,-32.229,-21.209,54.077,46.753
1575.0,-31.229,-20.209,55.077,46.753
1584.9,-29.229,-20.209,55.077,46.753
1594.8,-30.229,-20.209,59.077,47.753
1604.6,-28.229,-19.209,59.077,47.753
1614.5,-26.229,-19.209,58.077,46.753
1624.4,-26.229,-19.209,58.077,46.753
1634.3,-26.229,-20.209,60.077,46.753
1644.2,-28.229,-20.209,60.077,46.753
1654.1,-29.229,-20.209,61.077,48.753
1664.0,-29.229,-19.209,61.077,48.753
1673.8,-31.229,-20.209,60.077,48.753
1683.7,-33.229,-20.209,60.077,48.753
1693.6,-34.229,-20.209,59.077,47.753
1703.5,-34.229,-21.209,59.077,47.753
1713.4,-36.229,-21.209,57.077,46.753
1723.3,-37.229,-21.209,55.077,47.753
1733.2,-38.229,-22.209,55.077,45.753
1743.0,-39.229,-22.209,53.077,44.753
1752.9,-40.229,-22.209,52.077,45.753
1762.8,-42.229,-21.209,51.077,43.753
1772.7,-43.229,-22.209,48.077,43.753
1782.6,-45.229,-24.209,48.077,44.753
1792.5,-47.229,-24.209,45.077,42.753
1802.4,-49.229,-25.209,43.077,41.753
1812.2,-51.229,-24.209,44.077,41.753
1822.1,-53.229,-25.209,42.077,40.753
1832.0,-53.229,-25.209,41.077,41.753
1841.9,-52.229,-24.209,41.077,40.753
1851.8,-52.229,-23.209,40.077,41.753
1861.7,-50.229,-22.209,38.077,39.753
1871.6,-47.229,-20.209,36.077,40.753
1881.4,-43.229,-17.209,35.077,40.753
1891.3,-35.229,-16.209,38.077,42.753
1901.2,-27.229,-14.209,41.077,42.753
1911.1,-27.229,-14.209,44.077,44.753
1921.0,-16.229,-11.209,48.077,45.753
1930.9,-16.229,-11.209,54.077,47.753
1940.8,-2.2289,-8.2087,59.077,48.753
1950.6,-2.2289,-8.2087,61.077,48.753
1960.5,4.7711,-8.2087,68.077,49.753
1970.4,4.7711,-8.2087,70.077,50.753
1980.3,8.7711,-7.2087,73.077,51.753
1990.2,8.7711,-7.2087,77.077,51.753
2000.1,8.7711,-7.2087,78.077,52.753
2010.0,8.7711,-7.2087,80.077,52.753
2019.8,7.7711,-9.2087,82.077,53.753
2029.7,7.7711,-9.2087,80.077,52.753
2039.6,4.7711,-10.209,80.077,50.753
2049.5,4.7711,-10.209,77.077,52.753
2059.4,3.7711,-10.209,75.077,51.753
2069.3,3.7711,-10.209,72.077,49.753
2079.2,0.77109,-9.2087,71.077,49.753
2089.0,2.7711,-10.209,71.077,48.753
2098.9,1.7711,-9.2087,69.077,48.753
