t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
2.7,249.38,-134.19,-100.56,-45.461
12.6,250.38,-133.19,-102.56,-45.461
22.5,249.38,-132.19,-105.56,-46.461
32.4,252.38,-130.19,-104.56,-47.461
42.3,252.38,-130.19,-105.56,-48.461
52.2,251.38,-129.19,-105.56,-48.461
62.1,254.38,-127.19,-105.56,-47.461
71.9,254.38,-126.19,-108.56,-48.461
81.8,254.38,-126.19,-108.56,-50.461
91.7,247.38,-126.19,-110.56,-50.461
101.6,247.38,-126.19,-114.56,-51.461
111.5,240.38,-128.19,-117.56,-52.461
121.4,240.38,-128.19,-119.56,-54.461
131.3,227.38,-131.19,-123.56,-54.461
141.1,227.38,-131.19,-124.56,-56.461
151.0,215.38,-133.19,-124.56,-54.461
160.9,215.38,-133.19,-125.56,-54.461
170.8,204.38,-134.19,-125.56,-54.461
180.7,204.38,-134.19,-122.56,-53.461
190.6,191.38,-138.19,-123.56,-53.461
200.5,191.38,-138.19,-120.56,-53.461
210.3,177.38,-140.19,-121.56,-51.461
220.2,177.38,-140.19,-122.56,-53.461
230.1,170.38,-143.19,-126.56,-55.461
240.0,162.38,-143.19,-129.56,-56.461
249.9,157.38,-145.19,-134.56,-57.461
259.8,151.38,-148.19,-138.56,-61.461
269.7,142.38,-149.19,-142.56,-62.461
279.5,136.38,-151.19,-147.56,-63.461
289.4,132.38,-153.19,-149.56,-65.461
299.3,125.38,-156.19,-151.56,-64.461
309.2,123.38,-155.19,-151.56,-66.461
319.1,120.38,-155.19,-150.56,-64.461
329.0,112.38,-156.19,-148.56,-63.461
338.9,112.38,-155.19,-149.56,-62.461
348.7,122.38,-150.19,-144.56,-60.461
358.6,134.38,-146.19,-136.56,-56.461
368.5,149.38,-143.19,-129.56,-54.461
378.4,167.38,-137.19,-122.56,-51.461
388.3,183.38,-135.19,-116.56,-50.461
398.2,202.38,-131.19,-111.56,-49.461
408.1,216.38,-129.19,-110.56,-50.461
417.9,231.38,-127.19,-111.56,-52.461
427.8,242.38,-123.19,-113.56,-52.461
