t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
2.8,139.82,75.359,-22.392,-17.579
12.6,137.82,73.359,-21.392,-15.579
22.5,137.82,73.359,-19.392,-15.579
32.4,139.82,73.359,-18.392,-15.579
42.3,139.82,73.359,-19.392,-14.579
52.2,136.82,72.359,-19.392,-14.579
62.1,136.82,72.359,-18.392,-14.579
71.9,137.82,73.359,-19.392,-14.579
81.8,137.82,73.359,-21.392,-14.579
91.7,137.82,74.359,-20.392,-15.579
101.6,137.82,74.359,-18.392,-14.579
111.5,139.82,73.359,-19.392,-14.579
121.4,138.82,74.359,-19.392,-14.579
131.3,136.82,73.359,-21.392,-14.579
141.1,135.82,72.359,-19.392,-13.579
151.0,135.82,72.359,-21.392,-14.579
160.9,136.82,72.359,-22.392,-14.579
170.8,135.82,72.359,-23.392,-13.579
180.7,135.82,71.359,-22.392,-14.579
190.6,134.82,71.359,-23.392,-14.579
200.5,133.82,71.359,-23.392,-15.579
210.3,131.82,70.359,-22.392,-15.579
220.2,130.82,70.359,-21.392,-15.579
230.1,129.82,70.359,-23.392,-15.579
240.0,127.82,68.359,-23.392,-15.579
249.9,125.82,68.359,-23.392,-14.579
259.8,126.82,67.359,-25.392,-14.579
269.7,123.82,68.359,-25.392,-16.579
279.5,123.82,66.359,-26.392,-14.579
289.4,122.82,66.359,-26.392,-15.579
299.3,121.82,65.359,-27.392,-14.579
309.2,121.82,65.359,-27.392,-14.579
319.1,118.82,63.359,-28.392,-15.579
329.0,116.82,63.359,-28.392,-14.579
338.9,115.82,62.359,-28.392,-15.579
348.7,111.82,60.359,-30.392,-15.579
358.6,112.82,61.359,-32.392,-16.579
368.5,110.82,59.359,-33.392,-14.579
378.4,108.82,59.359,-33.392,-14.579
388.3,105.82,60.359,-35.392,-14.579
398.2,103.82,59.359,-35.392,-14.579
408.1,102.82,56.359,-35.392,-15.579
417.9,98.818,56.359,-35.392,-15.579
427.8,95.818,54.359,-36.392,-15.579
437.7,94.818,54.359,-36.392,-15.579
447.6,94.818,53.359,-38.392,-15.579
457.5,92.818,52.359,-38.392,-15.579
467.4,93.818,52.359,-40.392,-16.579
477.3,92.818,54.359,-40.392,-16.579
487.1,92.818,55.359,-40.392,-17.579
497.0,94.818,57.359,-40.392,-17.579
506.9,99.818,57.359,-43.392,-15.579
516.8,99.818,60.359,-43.392,-15.579
526.7,101.82,61.359,-47.392,-17.579
536.6,106.82,62.359,-47.392,-17.579
546.5,109.82,62.359,-46.392,-16.579
556.3,108.82,63.359,-46.392,-16.579
566.2,109.82,64.359,-42.392,-15.579
576.1,111.82,62.359,-42.392,-15.579
586.0,113.82,64.359,-36.392,-15.579
595.9,113.82,64.359,-36.392,-15.579
605.8,114.82,65.359,-30.392,-16.579
615.7,114.82,66.359,-30.392,-16.579
625.5,115.82,67.359,-25.392,-14.579
635.4,117.82,68.359,-25.392,-16.579
645.3,117.82,68.359,-24.392,-15.579
655.2,119.82,67.359,-22.392,-16.579
665.1,119.82,67.359,-22.392,-15.579
675.0,118.82,67.359,-21.392,-15.579
684.9,119.82,68.359,-20.392,-14.579
694.7,119.82,68.359,-19.392,-13.579
704.6,116.82,67.359,-19.392,-13.579
714.5,116.82,67.359,-19.392,-13.579
724.4,118.82,67.359,-18.392,-12.579
734.3,118.82,67.359,-19.392,-13.579
744.2,117.82,66.359,-19.392,-14.579
754.1,117.82,66.359,-23.392,-12.579
763.9,118.82,67.359,-23.392,-13.579
773.8,118.82,67.359,-21.392,-12.579
783.7,118.82,67.359,-25.392,-12.579
793.6,118.82,67.359,-23.392,-13.579
803.5,115.82,65.359,-24.392,-13.579
813.4,115.82,65.359,-25.392,-13.579
823.3,114.82,66.359,-26.392,-13.579
833.1,114.82,66.359,-25.392,-12.579
843.0,112.82,64.359,-24.392,-12.579
852.9,112.82,64.359,-26.392,-12.579
862.8,112.82,63.359,-24.392,-13.579
872.7,110.82,64.359,-26.392,-13.579
882.6,109.82,61.359,-25.392,-14.579
892.5,107.82,61.359,-26.392,-14.579
902.3,105.82,60.359,-28.392,-15.579
