time,own_icao24,intruder_icao24,own_latitude,own_longitude,own_geo_altitude_m,own_velocity_ms,own_heading_deg,own_vertical_rate_ms,intruder_latitude,intruder_longitude,intruder_geo_altitude_m,intruder_velocity_ms,intruder_heading_deg,intruder_vertical_rate_ms,relative_distance_km,relative_altitude_m,relative_speed_proxy_ms,distance_state,altitude_state,closing_state,mdp_state,recommended_action,reward
1781283492,4bb0e3,704458,16.7075,96.8394,10431.78,258.73,309.51,0.0,16.9836,96.6959,6492.24,140.04,281.23,-6.5,34.29,-3939.54,118.69,far,below,approaching,far_below_approaching,maintain,5
1781283492,780a0b,8832d4,14.3296,100.2577,12374.88,263.88,257.62,0.0,14.1413,100.6944,1889.76,98.08,172.46,-4.55,51.515,-10485.12,165.8,far,below,approaching,far_below_approaching,maintain,5
1781283492,780a0b,88044a,14.3296,100.2577,12374.88,263.88,257.62,0.0,13.9772,100.6451,381.0,66.06,208.36,-3.58,57.272,-11993.88,197.82,far,below,approaching,far_below_approaching,maintain,5
1781283492,780a0b,733682,14.3296,100.2577,12374.88,263.88,257.62,0.0,14.0824,99.5777,7056.12,222.86,307.21,6.5,78.285,-5318.76,41.02,far,below,approaching,far_below_approaching,maintain,5
1781283492,4bb10a,4007ed,16.3463,96.2622,11719.56,253.93,315.66,0.0,16.2747,96.1022,9761.22,258.97,304.07,0.0,18.84,-1958.34,5.04,medium,below,stable,medium_below_stable,maintain,5
1781283492,4bb10a,800c85,16.3463,96.2622,11719.56,253.93,315.66,0.0,16.6394,95.6783,10431.78,245.54,314.92,0.0,70.27,-1287.78,8.39,far,below,stable,far_below_stable,maintain,5
1781283492,4bb10a,800cff,16.3463,96.2622,11719.56,253.93,315.66,0.0,16.938,95.8884,11079.48,225.82,298.43,0.0,76.907,-640.08,28.11,far,below,approaching,far_below_approaching,maintain,5
1781283492,a479b2,a9d62e,14.6725,123.061,13053.06,250.3,272.71,0.0,14.6708,123.0921,10843.26,234.32,92.64,5.85,3.351,-2209.8,15.98,near,below,approaching,near_below_approaching,descend,-2
1781283492,780b20,899013,22.2268,108.7517,9837.42,228.56,310.07,0.0,22.4983,108.4002,11125.2,256.87,304.8,0.0,47.095,1287.78,28.31,far,above,approaching,far_above_approaching,maintain,5
1781283492,781e6e,89900d,21.2078,115.3486,10447.02,233.23,125.3,0.0,21.1212,114.9833,9806.94,257.84,268.4,0.0,39.084,-640.08,24.61,far,below,approaching,far_below_approaching,maintain,5
1781283492,781f14,86220c,32.2413,128.8461,9296.4,273.94,83.42,0.0,32.9454,128.8626,8938.26,219.07,246.32,0.0,78.308,-358.14,54.87,far,below,approaching,far_below_approaching,maintain,5
1781283492,781f14,a95ca4,32.2413,128.8461,9296.4,273.94,83.42,0.0,32.9046,129.1549,9913.62,288.71,49.7,0.33,79.229,617.22,14.77,far,above,stable,far_above_stable,maintain,5
1781283492,780aab,8a09f8,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.7902,113.9347,4472.94,179.92,8.38,0.0,24.001,-2529.84,24.69,far,below,approaching,far_below_approaching,maintain,5
1781283492,780aab,781eea,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.6824,113.9345,3642.36,180.62,320.78,5.2,35.607,-3360.42,23.99,far,below,approaching,far_below_approaching,maintain,5
1781283492,780aab,a3c2d5,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.8577,113.6781,2423.16,129.54,105.2,-1.63,24.442,-4579.62,75.07,far,below,approaching,far_below_approaching,maintain,5
1781283492,780aab,781841,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.8333,113.6806,960.12,92.97,152.3,0.0,26.049,-6042.66,111.64,far,below,approaching,far_below_approaching,maintain,5
1781283492,780aab,780667,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.8025,113.7211,1059.18,94.33,152.74,-4.23,25.997,-5943.6,110.28,far,below,approaching,far_below_approaching,maintain,5
1781283492,780aab,7805b3,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.5104,113.8834,1501.14,131.69,135.63,11.38,54.023,-5501.64,72.92,far,below,approaching,far_below_approaching,maintain,5
1781283492,780aab,7818f6,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.8362,113.5205,960.12,106.23,18.35,0.0,39.381,-6042.66,98.38,far,below,approaching,far_below_approaching,maintain,5
1781283492,780aab,789217,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.5241,114.1517,5219.7,199.26,318.03,2.28,60.202,-1783.08,5.35,far,below,stable,far_below_stable,maintain,5
1781283492,780aab,780970,22.9959,113.8637,7002.78,204.61,301.53,6.5,23.0775,113.742,5402.58,205.28,0.72,0.65,15.408,-1600.2,0.67,medium,below,stable,medium_below_stable,maintain,5
1781283492,780aab,a3d91f,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.7147,113.7693,419.1,78.23,152.59,-4.23,32.73,-6583.68,126.38,far,below,approaching,far_below_approaching,maintain,5
1781283492,780aab,781006,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.6902,113.7592,929.64,69.49,152.68,-3.25,35.639,-6073.14,135.12,far,below,approaching,far_below_approaching,maintain,5
1781283492,780aab,7810aa,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.9122,113.6697,1584.96,98.18,185.41,0.0,21.936,-5417.82,106.43,far,below,approaching,far_below_approaching,maintain,5
1781283492,780aab,71bd84,22.9959,113.8637,7002.78,204.61,301.53,6.5,22.3099,113.9406,327.66,89.15,71.15,12.03,76.687,-6675.12,115.46,far,below,approaching,far_below_approaching,maintain,5
1781283492,781df6,7812be,32.7135,130.1095,11833.86,300.82,74.32,0.65,32.8906,130.6492,10553.7,301.62,79.78,0.0,54.15,-1280.16,0.8,far,below,stable,far_below_stable,maintain,5
1781283492,780ae5,86dc60,38.8568,141.0953,10576.56,207.77,244.32,0.0,38.4974,140.8539,11513.82,201.78,193.12,0.33,45.124,937.26,5.99,far,above,stable,far_above_stable,maintain,5
