Fold,Method,Seed,N windows,MAE (BPM),RMSE (BPM),Correlation,BA bias (BPM),BA lower LoA (BPM),BA upper LoA (BPM),Failed (%)
1,Fixed | Raw,0,1309,11.465538728365608,21.86073495874621,0.10990763139425797,-11.646152320071542,-59.252168976181544,35.95986433603846,0.0
1,Fixed | Moving average (5),0,1309,11.535258380496684,21.99091626707026,0.10780494025456505,-11.580865536276956,-59.1291443873115,35.96741331475759,0.0
1,Fixed | Moving average (11),0,1309,11.441708527368025,21.877749058021017,0.10990275870588467,-11.515242905292249,-59.23013332678636,36.199647516201864,0.07639419404125158
1,"Fixed | Savitzky-Golay (21,3)",0,1309,11.341152022371332,21.744084131929153,0.11590052470999641,-11.577222014697405,-59.36142944489635,36.20698541550154,0.0
1,"Fixed | Butterworth (0.5-5 Hz, order 4)",0,1309,11.36743283269352,21.779569208653452,0.107839021554151,-11.637152420453543,-59.49721892360303,36.22291408269594,0.0
1,"Fixed | Butterworth (0.7-4 Hz, order 3)",0,1309,11.362928472381608,21.69274253572516,0.11754395861493938,-11.521334775320035,-58.75092650202062,35.70825695138055,0.0
1,Monte-Carlo,11,1309,11.48021702642747,21.89798354634229,0.11089056201054792,-11.651456629804201,-59.254277184240664,35.95136392463226,0.0
1,SARSA,11,1309,11.40560189760798,21.848709684930544,0.11047379116211153,-11.542557621951746,-59.182417884571834,36.097302640668346,0.0
1,Q-learning,11,1309,11.488666712656006,21.89128115259037,0.1081909233225707,-11.556118363977902,-59.08802357119712,35.975786843241316,0.07639419404125158
1,Contextual bandit,11,1309,11.358436378350586,21.753354602095257,0.11815324342262143,-11.481133804098196,-58.924782504085414,35.96251489588903,0.0
1,Monte-Carlo,22,1309,11.38733330384912,21.789059284756917,0.10893361760724288,-11.589378033922436,-59.40387403595058,36.22511796810571,0.0
1,SARSA,22,1309,11.447622795445419,21.85190580217817,0.10569526869899715,-11.67571362638898,-59.60061309822457,36.24918584544662,0.0
1,Q-learning,22,1309,11.445964659254457,21.842456626301978,0.10414335469872808,-11.610543166549816,-59.453115653584675,36.23202932048504,0.0
1,Contextual bandit,22,1309,11.442013142953794,21.839301623353105,0.11019742992733765,-11.61468086362195,-59.327044947656844,36.09768322041295,0.07639419404125158
1,Monte-Carlo,33,1309,11.444841571042515,21.874834294125698,0.1051051644001641,-11.670215327667554,-59.571485639717174,36.23105498438206,0.0
1,SARSA,33,1309,11.322319873989247,21.724104620980334,0.12111016634376838,-11.455877894408633,-58.70070257114092,35.78894678232366,0.0
1,Q-learning,33,1309,11.194215999284289,21.587037552329654,0.12530824208603586,-11.34814386486806,-58.66793479822208,35.971647068485964,0.0
1,Contextual bandit,33,1309,11.47470200272725,21.880997418715435,0.10639611912798286,-11.662415271605617,-59.35259963516476,36.02776909195352,0.0
1,Supervised action classifier,11,1309,11.452659129726335,21.869731994633725,0.11080382459801148,-11.624130530709772,-59.23599658025879,35.98773551883925,0.0
2,Fixed | Raw,0,1309,1.6872649166945388,4.785279574396943,0.8831472867943475,0.03407552389266785,-9.074829868493122,9.142980916278457,0.07639419404125158
2,Fixed | Moving average (5),0,1309,1.7031248139750448,4.725154826927654,0.8962772713381926,0.15514743361209624,-8.38038726531012,8.690682132534313,0.15278838808250317
2,Fixed | Moving average (11),0,1309,1.7092238063018508,4.785673784861024,0.8944413419034136,0.17171532630606257,-8.435141071236911,8.778571723849035,0.15278838808250317
2,"Fixed | Savitzky-Golay (21,3)",0,1309,1.6691025780941,4.8478395673242645,0.9115177907289342,0.18876451515026377,-7.645377794287695,8.022906824588222,0.30557677616500634
2,"Fixed | Butterworth (0.5-5 Hz, order 4)",0,1309,1.6175942809694857,4.390133799290945,0.9037253153590604,0.0879145915635055,-8.08372358592947,8.25955276905648,0.07639419404125158
2,"Fixed | Butterworth (0.7-4 Hz, order 3)",0,1309,1.628449045802123,4.202527596721365,0.8999458355887189,0.17857290251926652,-8.054086941426036,8.41123274646457,0.0
2,Monte-Carlo,11,1309,1.6623556223264755,4.682520576176393,0.8907529256075095,0.07937087521627191,-8.694879205872713,8.853620956305257,0.07639419404125158
2,SARSA,11,1309,1.6807628558288883,4.801199855896777,0.8921112543573193,0.10797778691734222,-8.578256138582185,8.79421171241687,0.15278838808250317
2,Q-learning,11,1309,1.6354507145286172,4.5555502701046935,0.9059523097264618,0.13051982539424467,-7.9611831430826765,8.222222793871167,0.15278838808250317
2,Contextual bandit,11,1309,1.5871647436794043,4.354054906634582,0.9149893480470382,0.1786472870573647,-7.494629674993421,7.85192424910815,0.15278838808250317
2,Monte-Carlo,22,1309,1.6957148379009834,4.750812996114809,0.8947421737561089,0.17835015986891864,-8.353295408417402,8.709995728155238,0.15278838808250317
2,SARSA,22,1309,1.7325205109263666,4.969575961297039,0.8939685047441864,0.18652518584789368,-8.388819953930946,8.761870325626733,0.22918258212375475
2,Q-learning,22,1309,1.6594092272583802,4.461448821685129,0.8989635894000664,0.11048272515003658,-8.308099121763847,8.529064572063922,0.07639419404125158
2,Contextual bandit,22,1309,1.70288532131446,4.760013020767776,0.8825282418210507,0.15976643668950696,-8.837571059826313,9.157103933205327,0.07639419404125158
2,Monte-Carlo,33,1309,1.7041652810550334,4.744667767384323,0.8870181609685862,0.05324466672523587,-8.877873655065066,8.984362988515539,0.07639419404125158
2,SARSA,33,1309,1.6190933340415414,4.350161062266755,0.9050881912398456,0.1404568165947431,-7.945662912366553,8.22657654555604,0.07639419404125158
2,Q-learning,33,1309,1.672672112598106,4.4876437403545655,0.9086111696944733,0.1702481647247989,-7.749635466845907,8.090131796295505,0.15278838808250317
2,Contextual bandit,33,1309,1.6587196895642005,4.608913162194467,0.8930740825922733,0.07819787446919287,-8.580047892759547,8.736443641697933,0.07639419404125158
2,Supervised action classifier,11,1309,1.6292200021051648,4.447345396252488,0.8881513835025715,0.0794948623828477,-8.771559268619157,8.930548993384853,0.0
3,Fixed | Raw,0,1309,2.2930133881230375,4.452455003176205,0.9481283527734101,-0.06660419812930991,-7.435149556188557,7.301941159929937,0.22918258212375475
3,Fixed | Moving average (5),0,1309,2.289604938608079,4.412836685663375,0.9487934684437003,0.07528804640242945,-7.200515042312059,7.351091135116917,0.22918258212375475
3,Fixed | Moving average (11),0,1309,2.347780980936135,4.772958505236715,0.9432851057227574,0.0282170071791243,-7.641917645618488,7.698351659976737,0.30557677616500634
3,"Fixed | Savitzky-Golay (21,3)",0,1309,2.3228274796240655,4.580729853252047,0.9507400634802371,-0.05456834435389069,-7.227164433429605,7.118027744721823,0.30557677616500634
3,"Fixed | Butterworth (0.5-5 Hz, order 4)",0,1309,2.282847688221536,4.213250742337553,0.9352174666694113,-0.24110663641200786,-8.488696375595518,8.006483102771503,0.0
3,"Fixed | Butterworth (0.7-4 Hz, order 3)",0,1309,2.227481975519335,4.023017730954384,0.9404527909537951,-0.2644886056543179,-8.13555127189906,7.606574060590423,0.0
3,Monte-Carlo,11,1309,2.3202185606812322,4.73112162503676,0.9449414471929587,-0.05980571961629096,-7.628617890858198,7.509006451625616,0.30557677616500634
3,SARSA,11,1309,2.290949996280939,4.484824397879118,0.9469289495965052,-0.05948936116870804,-7.503525181354442,7.3845464590170256,0.22918258212375475
3,Q-learning,11,1309,2.2632758978751992,4.312790327255896,0.94536562291726,-0.05790625826463381,-7.600990394286375,7.485177877757107,0.15278838808250317
3,Contextual bandit,11,1309,2.3402484600813436,4.708546838875695,0.9394437461413065,-0.11140238022307308,-8.067849031372896,7.84504427092675,0.22918258212375475
3,Monte-Carlo,22,1309,2.2698768086735686,4.274776920866535,0.9466036147899777,-0.02178292674657925,-7.481825984377831,7.438260130884673,0.15278838808250317
3,SARSA,22,1309,2.2897485011108607,4.39427592297515,0.9495465219443626,-0.04667625244661983,-7.279990013775157,7.186637508881917,0.22918258212375475
3,Q-learning,22,1309,2.259177541131571,4.368444847690911,0.9434888063758327,-0.07911277760732874,-7.7437901833449345,7.585564628130276,0.15278838808250317
3,Contextual bandit,22,1309,2.29466683891825,4.494321896814239,0.9462517510587866,-0.03598405524835136,-7.502637294128999,7.430669183632296,0.22918258212375475
3,Monte-Carlo,33,1309,2.325733446021492,4.58208009249116,0.9437464993578555,-0.09515008209043321,-7.7626402600954565,7.57234009591459,0.22918258212375475
3,SARSA,33,1309,2.3096429943483026,4.412475311631011,0.9423635727310422,-0.13175492750571707,-7.890188092020254,7.626678237008819,0.15278838808250317
3,Q-learning,33,1309,2.258689723106448,4.1852947538017835,0.9423926486455902,-0.05547718118282861,-7.8037117324415926,7.6927573700759355,0.07639419404125158
3,Contextual bandit,33,1309,2.272738503802774,4.300601272580717,0.9460115619655013,-0.05401485935743267,-7.570366373731108,7.462336655016243,0.15278838808250317
3,Supervised action classifier,11,1309,2.288938269673707,4.429662081771342,0.9415837328933554,-0.11054059809358675,-7.936145434657006,7.715064238469833,0.15278838808250317
4,Fixed | Raw,0,1190,1.2927454051452723,2.9000963899260928,0.9631952768582384,0.19819036846720714,-5.4750939614100185,5.871474698344433,0.0
4,Fixed | Moving average (5),0,1190,1.3212960815570713,2.9022220194990935,0.9632039619236787,0.27141508621904864,-5.394391516944297,5.937221689382395,0.0
4,Fixed | Moving average (11),0,1190,1.313558842020786,2.9444341173342705,0.9620817580693681,0.23570481494489268,-5.519283875356726,5.9906935052465125,0.0
4,"Fixed | Savitzky-Golay (21,3)",0,1190,1.3060731535620036,3.003242804336755,0.9605776397794967,0.20100517431733456,-5.674621105392282,6.07663145402695,0.0
