Ablation,MAE mean,MAE SD,RMSE mean,RMSE SD,Correlation mean
Full state,3.75765451464449,4.28892015705424,7.653798198897526,7.983717036583372,0.7671424746938267
No SQI,3.7832265744122893,4.319609120218884,7.689665923090132,7.967224838864338,0.7675191008208216
No entropy,3.832575672934825,4.340222193502478,7.789527111863235,7.9604032316176045,0.7608126646494895
No peak quality,3.756783416605667,4.290675090083321,7.578865592496574,7.977486608061076,0.7691200134114893
No previous HR,3.7950019374631934,4.28137637093932,7.7103419766839725,7.915312132640762,0.7657479177805575
No previous action,3.8030353751175725,4.306567791546375,7.799502861609362,7.9123106007767,0.7628528813675458
