Initial epsilon,Fold,MAE (BPM),RMSE (BPM),Correlation
0.0,1,11.405727603617299,21.80674017628234,0.10504426583106763
0.0,2,1.6262855298499153,4.431614104464309,0.9011051414157355
0.0,3,2.3321490706873838,4.651305965040839,0.9480955338304349
0.0,4,1.3028078658836757,2.9549815882572608,0.9617311211001318
0.0,5,2.242177079457748,4.891084827341944,0.9042387042554629
0.05,1,11.341507890502855,21.701688982492303,0.11394878534665304
0.05,2,1.6153604171685174,4.317356713543392,0.8960265474025378
0.05,3,2.2958161841705005,4.442334797676827,0.9416658069172161
0.05,4,1.3223293050103635,2.984389191916386,0.9611368758951833
0.05,5,2.2101150623382857,4.8057354976440125,0.9074405924952131
0.1,1,11.4048641707264,21.80964918088036,0.10430562736722247
0.1,2,1.6182000217930042,4.340153091918162,0.916556985895384
0.1,3,2.301523687739987,4.3677850103543525,0.9502796649907594
0.1,4,1.271545145557301,2.8686921976043687,0.9639790934588892
0.1,5,2.229752983196046,4.856818276110511,0.9057749112877047
0.2,1,11.469328276468978,21.857149952898766,0.10982805864307402
0.2,2,1.718868589747612,4.834374599437759,0.9016818311186697
0.2,3,2.262701676924927,4.310501604127875,0.9520904651571818
0.2,4,1.3269325624795825,2.932848493124027,0.9622657147600293
0.2,5,2.232613786433484,4.920199289971155,0.9035854334539248
0.4,1,11.457240388139722,21.869433943846573,0.10609287036722914
0.4,2,1.6485643585995595,4.524476331244319,0.905762518629778
0.4,3,2.276203068271704,4.262990377413995,0.9468675598044247
0.4,4,1.3002886736692802,2.908666837640042,0.9629962996564432
0.4,5,2.245060952169794,4.900306003796842,0.9036820811697994
0.8,1,11.429776672714114,21.814696431586217,0.11444758547248067
0.8,2,1.640629899865795,4.383605047319154,0.9024288048083721
0.8,3,2.280637575303136,4.347918185597305,0.9441247654668075
0.8,4,1.3027008217747478,2.9811152194992405,0.9611242405805258
0.8,5,2.233976445228429,4.8819051945072465,0.905001933584217
