Method,Mean MAE (BPM),SD MAE (BPM),Mean RMSE (BPM),Mean Failed (%)
"Fixed | Butterworth (0.7-4 Hz, order 3)",3.220929693861282,1.886745650690237,6.860284716727673,0.0
Contextual bandit,3.5511922765717814,1.8761585768670428,8.12805002248699,0.39221114802510115
Monte-Carlo,3.5511922765717814,1.8761585768670428,8.12805002248699,0.39221114802510115
Q-learning,3.743641108128135,2.280467148897211,8.478431157912102,0.7867294204503503
"Fixed | Butterworth (0.5-5 Hz, order 4)",3.930486870195885,2.630441217051305,8.76627627156151,0.29069767441860517
Fixed | Raw,14.537676308628663,5.9760306156809575,24.674809556389953,18.362403100775197
Fixed | Moving average (5),15.879010538199758,6.144830680241796,26.223007379800656,20.736434108527135
"Fixed | Savitzky-Golay (21,3)",16.96621951550474,6.027416175321132,27.238359613167084,21.622369878183832
Fixed | Moving average (11),18.40427883951677,5.8149052507344186,28.578326154040532,24.584717607973424
