Initial epsilon,MAE mean,MAE SD,RMSE mean,RMSE SD,Correlation mean
0.0,3.7818294298992043,4.283335245087064,7.747145332277339,7.895743961864186,0.7640429532865666
0.05,3.757025771838104,4.259310759605883,7.650301036654584,7.885165738657758,0.7640437216113607
0.1,3.7651772018025476,4.292212074410805,7.648619551373551,7.951201884534924,0.768179256599992
0.2,3.8020889784109166,4.303653406321288,7.771014787911916,7.91443638355418,0.7658903006265759
0.4,3.7854714881700118,4.308401662425524,7.693174698788354,7.960288484518493,0.7650802659255349
0.8,3.7775442829772445,4.297419142519021,7.681848015701833,7.932015313906139,0.7654254659824806
