Comparison,Paired t-test p,Wilcoxon signed-rank p,N subjects,Wilcoxon Holm p
Q-learning vs Contextual bandit,0.062122855476563474,0.05874923437924505,53,0.5287431094132055
"Q-learning vs Fixed | Butterworth (0.5-5 Hz, order 4)",0.943975730953724,0.7533135935807183,53,0.7533135935807183
"Q-learning vs Fixed | Butterworth (0.7-4 Hz, order 3)",0.46137535781567973,0.08039115196536493,53,0.5956076521445558
Q-learning vs Fixed | Moving average (11),0.1205108830110886,0.13578021187422395,53,0.5956076521445558
Q-learning vs Fixed | Moving average (5),0.07103138565479802,0.07445095651806947,53,0.5956076521445558
Q-learning vs Fixed | Raw,0.09989129424860924,0.33235676147777804,53,0.6647135229555561
"Q-learning vs Fixed | Savitzky-Golay (21,3)",0.4604478848623076,0.10617443244296776,53,0.5956076521445558
Q-learning vs Monte-Carlo,0.07513155116567158,0.09001768581185642,53,0.5956076521445558
Q-learning vs Supervised action classifier,0.23532339675688332,0.18863241769196737,53,0.5956076521445558
